row_0,0,1,2,3,4,5,6
172.28.144.1,1,0,1,0,0,0,0
192.168.1.235,0,0,2,0,0,0,0
192.168.111.10,2,0,0,0,0,0,0
192.168.111.102,1,0,0,1,0,0,0
192.168.111.3,109,0,0,0,0,0,0
192.168.119.151,153,0,1,11,0,0,0
192.168.119.154,277,0,0,70,0,42,1
192.168.119.155,217,0,0,11,1,1,0
192.168.119.156,301,0,0,15,2,21,7
192.168.119.157,144,0,0,2,0,3,0
192.168.119.50,295,0,0,1,0,142,0
192.168.119.51,393,0,0,4,0,40,0
192.168.119.52,277,0,0,44,0,53,0
192.168.119.54,74,0,0,0,0,0,0
192.168.120.1,101,0,0,0,0,0,0
192.168.120.10,249,0,0,1,0,0,0
192.168.120.11,1,0,0,0,0,0,0
192.168.120.3,37,3,0,0,220,0,180
192.168.120.32,27,0,0,0,0,0,0
192.168.120.33,2,0,0,0,0,0,0
192.168.120.60,346,0,0,0,94,0,0
192.168.120.63,317,0,0,0,123,0,0
192.168.120.65,23,0,0,0,0,0,0
192.168.120.66,6,0,0,0,0,0,0
192.168.120.67,318,0,0,0,122,0,0
192.168.120.68,314,0,0,0,127,0,0
192.168.120.71,13,0,0,0,0,0,0
192.168.120.72,357,0,0,0,83,0,0
192.168.121.10,32,4,0,6,0,21,14
192.168.121.101,8,0,0,0,0,0,0
192.168.121.11,69,0,2,16,1,0,5
192.168.121.13,84,2,0,28,3,1,6
192.168.121.14,23,1,1,6,1,2,6
192.168.121.15,87,0,2,1,2,5,8
192.168.121.150,1,0,0,0,0,0,0
192.168.121.16,79,0,1,1,0,0,1
192.168.121.17,55,0,2,18,5,0,8
192.168.121.19,25,0,1,5,1,0,0
192.168.121.2,34,0,1,18,1,0,4
192.168.121.20,57,0,0,33,0,0,1
192.168.121.21,122,0,2,7,2,2,8
192.168.121.22,41,8,0,12,9,12,11
192.168.121.23,49,0,0,7,0,1,0
192.168.121.24,66,0,1,14,0,2,8
192.168.121.25,51,0,0,14,4,10,12
192.168.121.26,77,0,0,12,1,3,10
192.168.121.27,61,1,3,3,2,3,5
192.168.121.28,81,0,3,43,1,5,14
192.168.121.29,93,1,1,2,3,4,8
192.168.121.3,45,0,0,4,0,1,7
192.168.121.30,66,0,2,12,3,0,5
192.168.121.31,28,5,1,1,1,0,3
192.168.121.32,68,0,1,22,1,3,13
192.168.121.33,23,3,0,0,4,0,2
192.168.121.34,44,13,3,3,7,2,12
192.168.121.35,3,0,0,0,0,0,0
192.168.121.36,181,0,1,57,8,1,40
192.168.121.38,72,0,5,47,22,8,20
192.168.121.39,36,1,1,9,0,1,2
192.168.121.4,68,21,0,12,6,7,15
192.168.121.40,66,0,0,0,0,7,3
192.168.121.41,57,0,0,4,2,0,6
192.168.121.43,35,0,3,3,0,1,3
192.168.121.44,6,0,0,0,0,0,0
192.168.121.45,3,0,0,0,0,0,0
192.168.121.46,6,0,0,0,0,0,1
192.168.121.47,27,0,0,0,0,1,0
192.168.121.48,25,0,0,8,2,0,7
192.168.121.49,16,23,0,17,4,31,18
192.168.121.5,61,22,3,24,9,6,7
192.168.121.50,20,0,0,0,1,0,1
192.168.121.51,20,0,0,12,0,2,2
192.168.121.52,56,0,0,36,1,15,29
192.168.121.53,240,0,0,10,0,2,0
192.168.121.54,48,0,0,36,1,10,21
192.168.121.55,34,0,1,11,2,4,13
192.168.121.56,12,0,0,0,0,0,0
192.168.121.57,26,1,0,7,2,1,11
192.168.121.58,54,0,0,2,1,1,0
192.168.121.59,20,0,3,2,2,0,2
192.168.121.6,51,0,0,0,0,0,6
192.168.121.60,26,0,1,6,1,0,4
192.168.121.61,18,1,0,0,0,0,0
192.168.121.62,118,0,4,170,1,25,28
192.168.121.63,1,0,0,0,1,0,0
192.168.121.64,3,0,0,0,0,0,0
192.168.121.65,44,0,1,21,2,2,12
192.168.121.66,43,0,0,25,1,4,8
192.168.121.68,2,1,0,0,0,0,0
192.168.121.69,5,1,0,0,0,1,1
192.168.121.71,4,2,0,0,6,1,1
192.168.121.76,120,4,1,10,20,0,17
192.168.121.8,311,0,3,50,1,19,22
192.168.121.80,21,0,1,0,0,2,1
192.168.140.108,56,0,0,6,0,0,1
192.168.140.110,104,0,1,0,0,2,0
192.168.147.102,385,55,0,0,0,0,0
192.168.147.125,2,0,0,0,0,0,0
192.168.147.158,435,0,0,0,5,0,0
192.168.147.161,20,0,0,61,0,0,0
192.168.147.170,440,0,0,0,0,0,0
192.168.147.223,1,0,0,0,0,0,0
192.168.147.231,2,0,0,0,0,0,0
192.168.147.32,23,0,3,1,0,0,0
192.168.147.33,3,0,0,2,0,0,7
192.168.191.46,3,0,0,0,0,0,0
192.168.197.50,93,46,0,0,61,0,90
192.168.197.51,56,160,0,0,30,1,22
192.168.197.52,125,46,0,0,48,0,85
192.168.197.53,107,16,0,1,8,1,52
192.168.197.54,48,6,0,3,29,0,50
192.168.197.55,64,40,0,0,13,0,28
192.168.197.56,31,19,0,0,0,0,0
192.168.197.57,0,0,0,0,5,0,28
192.168.198.10,112,0,0,0,0,0,0
192.168.198.119,119,0,0,43,0,0,0
192.168.198.120,418,0,22,0,0,0,0
192.168.198.73,440,0,0,0,0,0,0
192.168.199.10,87,0,0,1,12,0,152
192.168.199.11,1,0,0,0,0,0,0
192.168.199.12,13,0,0,116,0,173,134
192.168.199.40,154,0,0,5,0,0,0
192.168.2.111,440,0,0,0,0,0,0
192.168.2.112,440,0,0,0,0,0,0
192.168.2.220,50,0,0,0,0,0,0
192.168.2.221,437,0,0,1,0,2,0
192.168.2.226,436,0,0,0,0,0,0
192.168.2.231,278,0,0,162,0,0,0
192.168.2.26,52,0,0,0,0,0,0
192.168.2.39,54,0,0,0,0,0,0
192.168.2.4,110,0,0,0,0,0,0
192.168.2.40,55,0,0,0,0,0,0
192.168.2.5,368,0,0,32,0,29,6
192.168.214.1,2,0,0,0,0,0,0
192.168.217.1,17,0,15,0,0,0,0
192.168.237.10,15,0,12,0,0,0,0
192.168.238.1,5,0,0,0,0,0,0
192.168.253.1,14,0,18,0,0,0,0
192.168.4.11,2,0,0,2,1,0,5
192.168.4.12,1,0,0,1,12,0,14
192.168.4.13,2,0,0,0,0,0,0
192.168.4.14,5,0,0,0,0,0,0
192.168.4.15,6,0,0,0,0,0,0
192.168.4.16,3,0,0,0,0,0,0
192.168.4.18,274,19,0,0,1,0,0
192.168.4.19,160,9,0,0,13,0,2
192.168.6.10,25,2,0,0,0,0,0
192.168.6.11,131,80,0,0,22,0,0
192.168.6.12,6,0,0,0,0,0,0
192.168.6.13,33,0,0,94,30,1,50
192.168.6.14,7,1,0,0,21,0,0
192.168.6.15,218,0,0,0,0,0,0
192.168.6.16,128,0,0,0,1,0,0
192.168.6.17,24,2,0,1,31,0,6
192.168.6.18,271,45,0,0,0,0,0
192.168.6.19,8,0,0,2,29,0,189
192.168.6.20,18,0,0,0,0,0,0
192.168.6.21,16,1,0,0,2,0,0
192.168.6.22,63,11,0,0,1,0,0
192.168.6.23,27,0,0,0,0,0,0
192.168.6.24,10,0,0,0,0,0,0
192.168.6.25,124,0,0,0,0,0,0
192.168.6.26,4,0,0,0,0,0,0
192.168.6.27,10,0,0,0,0,0,0
192.168.6.28,8,0,0,0,0,0,0
192.168.6.29,20,0,0,0,2,0,0
192.168.6.30,15,1,0,0,2,0,0
192.168.6.31,42,0,0,0,0,0,0
192.168.6.32,46,0,0,0,1,0,0
192.168.6.33,210,0,0,0,0,0,0
192.168.6.34,59,4,0,0,1,0,0
192.168.6.35,78,1,0,0,0,0,0
192.168.6.36,9,2,0,0,1,0,0
192.168.6.37,9,0,0,0,0,0,0
192.168.6.38,150,38,0,0,16,0,0
192.168.6.39,36,0,0,0,0,0,0
192.168.6.40,51,1,0,0,3,0,0
192.168.6.41,27,1,0,1,11,0,11
192.168.6.42,5,1,0,0,3,0,4
192.168.6.43,27,0,0,0,0,0,0
192.168.6.44,62,0,0,0,0,0,0
192.168.6.45,7,0,0,0,0,0,0
192.168.8.1,2,0,0,0,0,0,0
192.168.86.1,5,0,0,0,0,0,0
192.168.9.18,12,4,0,0,1,0,1
192.168.9.7,22,0,1,74,1,2,13
192.168.9.73,153,0,0,0,0,0,0
192.168.9.94,153,0,0,12,1,0,4
